total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,winning_team
26,9,0.46153846153846156,0.5555555555555556,14.961233897001229,21.98609641822174,5,2,15,5,0.5769230769230769,0.5555555555555556,25,9,1,0,0,0,718,356,0.8662952646239555,0.7331460674157303,16,7,27.615384615384617,39.55555555555556,18,5,0.2222222222222222,0.6,7,2,8,19,0,0,14,20,18,14,26,19,0.6923076923076923,0.7368421052631579,19,15,0,1,10,21,0,1,0,1,11,15,0,3,0,1,draw
15,17,0.5333333333333333,0.17647058823529413,15.512484188005018,15.794779919763386,1,2,12,8,0.8,0.47058823529411764,11,15,4,2,0,0,424,635,0.7240566037735849,0.8110236220472441,10,12,28.266666666666666,37.35294117647059,7,25,0.2857142857142857,0.44,4,6,8,9,1,0,28,17,12,17,19,25,0.631578947368421,0.68,22,14,0,0,30,18,0,0,1,0,14,14,3,3,0,0,away_team
8,14,0.25,0.5714285714285714,21.486134092289657,19.95978048208493,1,2,4,7,0.5,0.5,7,13,1,1,0,0,636,374,0.7845911949685535,0.6417112299465241,7,11,79.5,26.714285714285715,21,12,0.14285714285714285,0.25,5,4,5,17,0,0,22,13,7,20,13,36,0.5384615384615384,0.5555555555555556,14,10,0,0,16,22,0,0,1,0,9,10,2,2,1,0,away_team
10,7,0.4,0.0,16.77653322427616,120.0,2,1,8,5,0.8,0.7142857142857143,9,6,1,1,0,0,466,395,0.7317596566523605,0.6531645569620254,6,5,46.6,56.42857142857143,15,18,0.13333333333333333,0.2222222222222222,7,3,15,12,0,1,19,14,12,19,21,29,0.5714285714285714,0.6896551724137931,11,17,0,0,24,20,0,0,0,2,18,16,2,4,0,0,draw
14,8,0.21428571428571427,0.375,21.67513547190961,14.197332132034807,1,1,5,5,0.35714285714285715,0.625,12,4,2,4,0,0,469,418,0.7526652452025586,0.7177033492822966,9,7,33.5,52.25,20,16,0.1,0.25,5,4,12,4,0,0,16,20,5,5,11,15,0.45454545454545453,0.3333333333333333,15,9,0,0,24,26,0,0,0,0,13,13,3,3,0,0,draw
11,14,0.2727272727272727,0.35714285714285715,19.662321165482926,15.810854859732455,1,3,7,10,0.6363636363636364,0.7142857142857143,11,12,0,2,0,0,353,755,0.773371104815864,0.8701986754966887,7,10,32.09090909090909,53.92857142857143,2,10,0.5,0.1,1,10,7,3,0,0,20,15,15,16,26,21,0.5769230769230769,0.7619047619047619,17,5,0,0,26,7,0,0,0,0,9,12,3,1,0,0,away_team
9,15,0.2222222222222222,0.2,13.673488047687105,13.751931848163139,0,0,6,10,0.6666666666666666,0.6666666666666666,5,12,4,3,0,0,337,538,0.7091988130563798,0.7788104089219331,8,12,37.44444444444444,35.86666666666667,11,26,0.5454545454545454,0.3076923076923077,2,3,10,12,0,0,22,15,7,8,17,16,0.4117647058823529,0.5,12,11,0,0,38,24,0,0,0,0,15,11,6,3,0,0,home_team
13,15,0.46153846153846156,0.3333333333333333,13.961671149374952,25.947829676551294,1,0,11,9,0.8461538461538461,0.6,9,14,4,1,0,0,414,508,0.7463768115942029,0.8110236220472441,9,10,31.846153846153847,33.86666666666667,14,7,0.21428571428571427,0.42857142857142855,5,5,8,15,1,0,14,13,13,13,21,22,0.6190476190476191,0.5909090909090909,20,18,2,0,16,23,0,0,1,0,12,8,3,7,0,0,away_team
20,5,0.4,0.8,21.503406851363188,13.203956954966912,0,2,11,3,0.55,0.6,17,3,3,2,0,0,583,354,0.7564322469982847,0.6977401129943502,14,4,29.15,70.8,25,10,0.24,0.5,8,3,7,13,0,0,13,26,18,11,25,17,0.72,0.6470588235294118,13,22,0,0,22,47,0,0,0,1,14,13,3,3,0,0,away_team
20,12,0.5,0.25,20.422847571812582,11.043189272025769,5,2,14,6,0.7,0.5,15,11,5,1,0,0,677,331,0.8714918759231906,0.7552870090634441,12,8,33.85,27.583333333333332,13,4,0.3076923076923077,0.25,10,1,5,11,0,0,20,16,14,16,21,25,0.6666666666666666,0.64,13,19,0,2,6,17,0,0,0,0,23,19,1,3,0,0,home_team
14,10,0.5,0.2,19.403633244311184,13.86974194792858,1,2,9,6,0.6428571428571429,0.6,12,5,2,5,0,0,413,478,0.6707021791767555,0.7133891213389121,11,8,29.5,47.8,11,12,0.18181818181818182,0.3333333333333333,9,4,11,10,1,0,24,18,11,12,22,19,0.5,0.631578947368421,21,9,0,0,19,25,0,1,0,0,9,10,4,4,0,0,home_team
24,3,0.20833333333333334,0.3333333333333333,24.704644764132283,24.91766441703556,1,0,14,1,0.5833333333333334,0.3333333333333333,18,2,5,1,1,0,612,312,0.8316993464052288,0.6698717948717948,21,3,25.5,104.0,34,6,0.35294117647058826,0.5,7,1,9,6,0,0,18,25,9,11,22,17,0.4090909090909091,0.6470588235294118,17,18,0,0,14,28,0,0,0,0,12,10,4,4,0,0,draw
8,17,0.25,0.4117647058823529,18.07608222082459,16.77225031444777,1,2,5,9,0.625,0.5294117647058824,6,16,2,1,0,0,435,433,0.671264367816092,0.6720554272517321,6,10,54.375,25.470588235294116,6,15,0.3333333333333333,0.5333333333333333,3,5,16,8,0,0,28,23,12,11,17,22,0.7058823529411765,0.5,15,23,2,0,34,11,0,0,0,0,19,23,3,5,0,0,away_team
9,14,0.3333333333333333,0.42857142857142855,22.579785535607304,19.126027917434563,0,3,4,9,0.4444444444444444,0.6428571428571429,8,11,1,3,0,0,517,699,0.7137330754352031,0.8140200286123033,7,10,57.44444444444444,49.92857142857143,12,16,0.4166666666666667,0.3125,1,4,3,14,0,0,21,26,12,15,20,22,0.6,0.6818181818181818,18,7,0,0,28,21,0,0,0,0,16,23,2,1,0,0,away_team
10,13,0.4,0.23076923076923078,21.513794479694663,25.411423319511485,1,0,7,3,0.7,0.23076923076923078,9,13,1,0,0,0,335,534,0.7014925373134329,0.7415730337078652,8,9,33.5,41.07692307692308,8,20,0.125,0.05,4,6,17,7,1,0,33,10,9,12,13,17,0.6923076923076923,0.7058823529411765,22,11,0,0,33,24,0,0,0,0,16,10,5,2,0,0,home_team
